Feature,Delivery_person_Age,Delivery_person_Ratings,Weather,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min),Distance_km,Prep_Time_min,Order_Hour
Delivery_person_Age,1.0,-0.10143466405731541,0.061001656246959066,0.036654670942218734,-0.012388888439804962,0.009521328631803841,-0.028313505982647418,0.10543975627779108,-0.0181257582825313,-0.07004221783476447,0.2762888397137185,-0.040972200590295216,0.03606265004500014,-0.01656718505878591
Delivery_person_Ratings,-0.10143466405731541,1.0,0.007968492064545108,0.08511889387522358,0.0996685204525643,0.033012489927466325,0.013759806365763847,-0.10004286434524773,-0.04516244130626875,0.05148194794856712,-0.37897729975932415,-0.08570496259748946,0.0636517208640932,-0.027390207668705632
Weather,0.061001656246959066,0.007968492064545108,1.0,0.08979382819891135,0.04286458303981942,0.02837126853230128,-0.0024990611836309407,-0.04062819369871824,-0.013857171897250883,-0.004665354200399166,-0.15168941445466017,0.02218340891887413,0.10447916518329965,0.006097221502474864
Road_traffic_density,0.036654670942218734,0.08511889387522358,0.08979382819891135,1.0,0.08200793656720322,0.020296694181767154,-0.003599883514847621,-0.05727247083687118,-0.06245660188613339,0.007616532783888286,-0.20600890702673152,0.1129435427781015,0.20373979176650112,0.06402382667932599
Vehicle_condition,-0.012388888439804962,0.0996685204525643,0.04286458303981942,0.08200793656720322,1.0,0.03505233572860706,0.1943413229772587,-0.1068534328679906,-0.04689973718671526,0.06836647172328246,-0.2579463694806055,0.03338117165717827,0.10912834264670017,0.03609766096846144
Type_of_order,0.009521328631803841,0.033012489927466325,0.02837126853230128,0.020296694181767154,0.03505233572860706,1.0,0.044470796482457164,0.009312396151373489,0.01410582313850114,0.013413653759240531,0.021580935424576033,0.018421484110934035,0.040423118500262485,0.013905969842081707
Type_of_vehicle,-0.028313505982647418,0.013759806365763847,-0.0024990611836309407,-0.003599883514847621,0.1943413229772587,0.044470796482457164,1.0,-0.03040816763557664,0.0028935936028705194,0.01860998577952468,-0.06568563491652366,-0.00038753241191198244,-0.008604157821594103,0.02225421108186096
multiple_deliveries,0.10543975627779108,-0.10004286434524773,-0.04062819369871824,-0.05727247083687118,-0.1068534328679906,0.009312396151373489,-0.03040816763557664,1.0,0.06039722769047335,-0.060801488263203717,0.3596376683373225,0.09193039034555539,0.024724957169675245,0.046065661623015
Festival,-0.0181257582825313,-0.04516244130626875,-0.013857171897250883,-0.06245660188613339,-0.04689973718671526,0.01410582313850114,0.0028935936028705194,0.06039722769047335,1.0,0.017876680534251014,0.11465399426833585,0.02472634655521685,-0.022427097429227823,0.015529304109872516
City,-0.07004221783476447,0.05148194794856712,-0.004665354200399166,0.007616532783888286,0.06836647172328246,0.013413653759240531,0.01860998577952468,-0.060801488263203717,0.017876680534251014,1.0,-0.21156239729228318,-0.036799651812737526,-0.0007338300747809053,-0.0148041126929614
Time_taken(min),0.2762888397137185,-0.37897729975932415,-0.15168941445466017,-0.20600890702673152,-0.2579463694806055,0.021580935424576033,-0.06568563491652366,0.3596376683373225,0.11465399426833585,-0.21156239729228318,1.0,0.26734066154328723,0.000748804197537765,0.13286634602213163
Distance_km,-0.040972200590295216,-0.08570496259748946,0.02218340891887413,0.1129435427781015,0.03338117165717827,0.018421484110934035,-0.00038753241191198244,0.09193039034555539,0.02472634655521685,-0.036799651812737526,0.26734066154328723,1.0,0.01364620890503206,0.5510233031088548
Prep_Time_min,0.03606265004500014,0.0636517208640932,0.10447916518329965,0.20373979176650112,0.10912834264670017,0.040423118500262485,-0.008604157821594103,0.024724957169675245,-0.022427097429227823,-0.0007338300747809053,0.000748804197537765,0.01364620890503206,1.0,0.07629611145491694
Order_Hour,-0.01656718505878591,-0.027390207668705632,0.006097221502474864,0.06402382667932599,0.03609766096846144,0.013905969842081707,0.02225421108186096,0.046065661623015,0.015529304109872516,-0.0148041126929614,0.13286634602213163,0.5510233031088548,0.07629611145491694,1.0
